period,reporter_code,reporter_name,flow_code,flow_type,partner_code,partner_name,cmd_code,cmd_desc,trade_value_usd,net_weight_kg,quantity,scraped_at,cleaned_at
2014,156,China,X,Export,28,Antigua and Barbuda,8471,Computers & Laptops,1314529.0,6587.0,2282.0,2026-05-11T15:51:58.704567,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,64,Bhutan,8471,Computers & Laptops,106139.0,570.0,108476.0,2026-05-11T15:51:58.704589,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,92,Unknown,8471,Computers & Laptops,320036.0,4242.0,27272.0,2026-05-11T15:51:58.704597,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,108,Unknown,8471,Computers & Laptops,178369.0,1023.0,267.0,2026-05-11T15:51:58.704603,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,140,Unknown,8471,Computers & Laptops,264508.0,1696.0,306.0,2026-05-11T15:51:58.704609,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,136,Unknown,8471,Computers & Laptops,71794.0,401.0,609.0,2026-05-11T15:51:58.704615,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,296,Unknown,8471,Computers & Laptops,7420.0,98.0,1694.0,2026-05-11T15:51:58.704620,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,304,Unknown,8471,Computers & Laptops,11078.0,48.0,256.0,2026-05-11T15:51:58.704630,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,308,Unknown,8471,Computers & Laptops,410286.0,2553.0,308.0,2026-05-11T15:51:58.704635,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,535,Unknown,8471,Computers & Laptops,35751.0,179.0,66.0,2026-05-11T15:51:58.704641,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,624,Unknown,8471,Computers & Laptops,312174.0,2210.0,402.0,2026-05-11T15:51:58.704646,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,670,Unknown,8471,Computers & Laptops,2537994.0,12681.0,12539.0,2026-05-11T15:51:58.704651,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,690,Unknown,8471,Computers & Laptops,243183.0,1254.0,968.0,2026-05-11T15:51:58.704656,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,728,Unknown,8471,Computers & Laptops,734733.0,4010.0,324.0,2026-05-11T15:51:58.704662,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,854,Unknown,8471,Computers & Laptops,228817.0,1143.0,946.0,2026-05-11T15:51:58.704667,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,442,Unknown,8471,Computers & Laptops,1018094521.0,5123051.0,2388417.0,2026-05-11T15:51:58.704673,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,626,Unknown,8471,Computers & Laptops,25219.0,139.0,2336.0,2026-05-11T15:51:58.704678,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,148,Unknown,8471,Computers & Laptops,1372752.0,9331.0,417.0,2026-05-11T15:51:58.704687,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,662,Unknown,8471,Computers & Laptops,398452.0,2197.0,135105.0,2026-05-11T15:51:58.704693,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,882,Unknown,8471,Computers & Laptops,977390.0,5251.0,12648.0,2026-05-11T15:51:58.704698,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,174,Unknown,8471,Computers & Laptops,97434.0,866.0,36776.0,2026-05-11T15:51:58.704704,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,52,Unknown,8471,Computers & Laptops,143631.0,791.0,237.0,2026-05-11T15:51:58.704709,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,426,Unknown,8471,Computers & Laptops,110147.0,944.0,102176.0,2026-05-11T15:51:58.704715,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,548,Unknown,8471,Computers & Laptops,16270.0,86.0,208.0,2026-05-11T15:51:58.704722,2026-05-11T15:52:53.904347+00:00
2014,156,China,X,Export,212,Unknown,8471,Computers & Laptops,102030.0,855.0,17731.0,2026-05-11T15:51:58.704749,2026-05-11T15:52:53.904347+00:00
